date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
23/04/2020,Uttar Pradesh,1449,1255,173,21,2704
24/04/2020,Uttar Pradesh,1510,1280,206,24,2790
25/04/2020,Uttar Pradesh,1621,1349,247,25,2970
26/04/2020,Uttar Pradesh,1793,1505,261,27,3298
27/04/2020,Uttar Pradesh,1868,1550,289,29,3418
28/04/2020,Uttar Pradesh,1955,1589,335,31,3544
29/04/2020,Uttar Pradesh,2053,1557,462,34,3610
30/04/2020,Uttar Pradesh,2134,1585,510,39,3719
01/05/2020,Uttar Pradesh,2203,1651,513,39,3854
02/05/2020,Uttar Pradesh,2328,1632,654,42,3960
03/05/2020,Uttar Pradesh,2487,1755,689,43,4242
04/05/2020,Uttar Pradesh,2645,1848,754,43,4493
05/05/2020,Uttar Pradesh,2766,1914,802,50,4680
06/05/2020,Uttar Pradesh,2880,1837,987,56,4717
07/05/2020,Uttar Pradesh,2998,1808,1130,60,4806
08/05/2020,Uttar Pradesh,3071,1759,1250,62,4830
09/05/2020,Uttar Pradesh,3214,1761,1387,66,4975
10/05/2020,Uttar Pradesh,3373,1800,1499,74,5173
11/05/2020,Uttar Pradesh,3467,1740,1653,74,5207
12/05/2020,Uttar Pradesh,3573,1735,1758,80,5308
13/05/2020,Uttar Pradesh,3664,1709,1873,82,5373
14/05/2020,Uttar Pradesh,3729,1744,1902,83,5473
15/05/2020,Uttar Pradesh,3902,1742,2072,88,5644
16/05/2020,Uttar Pradesh,4057,1797,2165,95,5854
17/05/2020,Uttar Pradesh,4258,1713,2441,104,5971
18/05/2020,Uttar Pradesh,4259,1714,2441,104,5973
19/05/2020,Uttar Pradesh,4605,1704,2783,118,6309
20/05/2020,Uttar Pradesh,4926,1885,2918,123,6811
21/05/2020,Uttar Pradesh,5175,1982,3066,127,7157
22/05/2020,Uttar Pradesh,5515,2173,3204,138,7688
23/05/2020,Uttar Pradesh,5735,2345,3238,152,8080
24/05/2020,Uttar Pradesh,6017,2456,3406,155,8473
25/05/2020,Uttar Pradesh,6268,2569,3538,161,8837
26/05/2020,Uttar Pradesh,6532,2786,3581,165,9318
27/05/2020,Uttar Pradesh,6548,2680,3698,170,9228
28/05/2020,Uttar Pradesh,6991,2818,3991,182,9809
29/05/2020,Uttar Pradesh,7170,2758,4215,197,9928
30/05/2020,Uttar Pradesh,7284,2842,4244,198,10126
31/05/2020,Uttar Pradesh,7445,2834,4410,201,10279
01/06/2020,Uttar Pradesh,7823,2901,4709,213,10724
02/06/2020,Uttar Pradesh,8075,3015,4843,217,11090
03/06/2020,Uttar Pradesh,8361,3109,5030,222,11470
04/06/2020,Uttar Pradesh,8729,3324,5176,229,12053
05/06/2020,Uttar Pradesh,9237,3553,5439,245,12790
06/06/2020,Uttar Pradesh,9733,3828,5648,257,13561
07/06/2020,Uttar Pradesh,9733,3828,5648,257,13561
08/06/2020,Uttar Pradesh,10536,4076,6185,275,14612
09/06/2020,Uttar Pradesh,10947,4320,6344,283,15267
10/06/2020,Uttar Pradesh,11335,4365,6669,301,15700
11/06/2020,Uttar Pradesh,11610,4418,6871,321,16028
12/06/2020,Uttar Pradesh,12088,4451,7292,345,16539
13/06/2020,Uttar Pradesh,12616,4642,7609,365,17258
14/06/2020,Uttar Pradesh,13118,4858,7875,385,17976
15/06/2020,Uttar Pradesh,13615,4948,8268,399,18563
16/06/2020,Uttar Pradesh,13615,4948,8268,399,18563
17/06/2020,Uttar Pradesh,14091,5064,8610,417,19155
18/06/2020,Uttar Pradesh,14598,5259,8904,435,19857
19/06/2020,Uttar Pradesh,15181,5477,9239,465,20658
20/06/2020,Uttar Pradesh,15785,5659,9638,488,21444
21/06/2020,Uttar Pradesh,16594,6092,9995,507,22686
22/06/2020,Uttar Pradesh,17731,6186,10995,550,23917
